INFO 2024-11-01 15:30:59,613 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-01 15:30:59,613 autoreload Waiting for apps ready_event.
DEBUG 2024-11-01 15:30:59,869 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-01 15:30:59,876 autoreload Watching dir C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\backend\backend_project\locale with glob **/*.mo.
DEBUG 2024-11-01 15:30:59,877 autoreload Watching dir C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\backend\backend_project\log_importer\locale with glob **/*.mo.
DEBUG 2024-11-01 15:30:59,877 autoreload Watching dir C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-01 15:30:59,895 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-01 15:30:59,897 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-01 15:30:59,989 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\backend\backend_project\backend_project\__init__.py first seen with mtime 1729737914.113802
DEBUG 2024-11-01 15:30:59,989 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py first seen with mtime 1729644004.7543967
DEBUG 2024-11-01 15:30:59,989 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\DLLs\_asyncio.pyd first seen with mtime 1729644003.9663098
DEBUG 2024-11-01 15:30:59,989 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1729734846.8455079
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\library.py first seen with mtime 1729734846.8333116
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\wsgiref\simple_server.py first seen with mtime 1729644005.804571
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1729734846.8669372
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1729734844.392513
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\socket.py first seen with mtime 1729644005.6567943
DEBUG 2024-11-01 15:30:59,990 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\encodings\aliases.py first seen with mtime 1729644004.2508688
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\requests\certs.py first seen with mtime 1730072884.311477
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1729734844.397104
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1729644004.1686378
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1729734846.7141316
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1729734845.9950342
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1729734846.348132
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1729734846.8256707
DEBUG 2024-11-01 15:30:59,991 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\_version.py first seen with mtime 1730072883.7826753
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\DLLs\unicodedata.pyd first seen with mtime 1729644003.960937
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1730072883.788242
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\uuid.py first seen with mtime 1729644005.7903314
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1729734844.3889718
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py first seen with mtime 1729644004.8616478
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\asyncio\streams.py first seen with mtime 1729644004.1036403
DEBUG 2024-11-01 15:30:59,992 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1729734846.718189
DEBUG 2024-11-01 15:30:59,993 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1729734846.7242694
DEBUG 2024-11-01 15:30:59,993 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\subprocess.py first seen with mtime 1729644005.6816318
DEBUG 2024-11-01 15:30:59,993 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\gettext.py first seen with mtime 1729644004.422861
DEBUG 2024-11-01 15:30:59,993 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1729734845.4368675
DEBUG 2024-11-01 15:30:59,993 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\__init__.py first seen with mtime 1729644005.8735588
DEBUG 2024-11-01 15:30:59,994 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_common.py first seen with mtime 1729644005.8725367
DEBUG 2024-11-01 15:30:59,994 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1729734846.7263188
DEBUG 2024-11-01 15:30:59,995 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\calendar.py first seen with mtime 1729644004.1457434
DEBUG 2024-11-01 15:30:59,995 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_functools.py first seen with mtime 1729644004.7155116
DEBUG 2024-11-01 15:30:59,995 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\pickle.py first seen with mtime 1729644004.9069493
DEBUG 2024-11-01 15:30:59,995 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1729734846.7808387
DEBUG 2024-11-01 15:30:59,995 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1729734845.804117
DEBUG 2024-11-01 15:30:59,996 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\secrets.py first seen with mtime 1729644004.9579449
DEBUG 2024-11-01 15:30:59,996 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\bisect.py first seen with mtime 1729644004.1437235
DEBUG 2024-11-01 15:30:59,996 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1729734846.7192523
DEBUG 2024-11-01 15:30:59,996 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\__init__.py first seen with mtime 1729644004.7267778
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1729734845.698806
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1729734846.7166834
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\__init__.py first seen with mtime 1729644004.7389004
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1729734844.3904843
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\__init__.py first seen with mtime 1729644004.865858
DEBUG 2024-11-01 15:30:59,998 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1729734846.8526125
DEBUG 2024-11-01 15:30:59,998 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1729734844.392513
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1729734846.8699827
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1729734846.8312988
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1729734846.751769
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\wsgiref\headers.py first seen with mtime 1729644005.8035648
