Index,Activity name,Completions/hr (main),Completions/hr (iron),Extra time to first completion (hours),Notes,Verification source
1,Killing abyssal sire (on task),45,32,0,,WiseOldMan EHB.
2,Killing alchemical hydra (on task),33,29,0,Tbow+BP. ,WiseOldMan EHB.
3,Killing araxxor (on task),37,37,0,,WiseOldMan EHB.
4,Opening barrows chests,22,22,0,Shadow + BP/Claws.,-
5,Killing artio,65,65,0,Webweaver bow. ,WiseOldMan EHB.
6,Killing cerberus (on task),61,54,0,Scythe + Inq Mace. ,WiseOldMan EHB.
7,Killing chaos elemental,60,48,0,,WiseOldMan EHB.
8,Killing chaos fanatic,100,80,0,Webweaver Bow.,WiseOldMan EHB.
9,Killing commander zilyana,55,28,0,Tbow+BP.,WiseOldMan EHB.
10,Killing corporeal beast,60,8.5,0,Mains: Corp boosting 2+6+6.,WiseOldMan EHB.
11,Killing crazy archaeologist,75,75,0,Accursed sceptre.,-
12,Killing dagganoth kings (3 kills = 1 of each king),100,100,0,Shadow/Tbow/Scythe. ,WiseOldMan EHB.
13,Killing duke sucellus,24,24,0,Scythe. ,WiseOldMan EHB.
14,"Finishing fight caves (and gambling cape, on task)",2,2,0,Speedrun on task.,WiseOldMan EHB.
15,"Killing sol heredit (and gambling quiver, fortis colosseum)",2,2,0,,
16,Opening reward chest (gauntlet),10,10,0,"Not recommended, do CG instead.",WiseOldMan EHB.
17,Opening reward chest (corrupted gauntlet),7,7,0,,WiseOldMan EHB.
18,Killing general graardor,55,25,0,Bowfa.,WiseOldMan EHB.
19,Killing giant mole,100,90,0,Tbow.,WiseOldMan EHB.
20,Killing grotesque guardians (on task),36,33,0,SGS or Claws+Scythe+Thralls.,WiseOldMan EHB.
21,Harvesting hespori,90,60,0,BP+Claws+Scythe.,-
22,"Finishing inferno (and gambling cape, on task)",0.8,0.9,0,Check Gear Discord for setups.,WiseOldMan EHB.
23,Killing kalphite queen,50,33,0,Scythe+BP on task.,WiseOldMan EHB.
24,Killing king black dragon,120,75,0,Tbow on task. ,WiseOldMan EHB.
25,Killing kraken (on task),100,82,0,Shadow.,WiseOldMan EHB.
26,Killing kree'arra,40,27,0,Chins.,WiseOldMan EHB.
27,Killing k'ril tsutsaroth,65,26,0,,WiseOldMan EHB.
28,Killing the leviathan,26,26,0,Bowfa or Tbow.,WiseOldMan EHB.
29,Killing eclipse moon (moons of peril),18,18,0,Ghrazi rapier. Elder maul for the Clone attack.,-
30,Killing blue moon (moons of peril),18,18,0,Scythe on Crush.,-
31,Killing blood moon (moons of peril),18,18,0,Scythe on Slash. D Claws for specs.,-
32,Killing nex (6 person team),13,12,0,,WiseOldMan EHB.
33,Killing the nightmare of ashihama (5 person team),14,11,0,"Not recommended, do Phosani's instead.",WiseOldMan EHB.
34,Killing phosani's nightmare,7,6.5,0,,WiseOldMan EHB.
35,Killing phantom muspah,25,25,0,Shadow/Tbow/Zcb.,WiseOldMan EHB.
36,Killing sarachnis,80,56,0,Scythe+Claws.,WiseOldMan EHB.
37,Killing scorpia,130,60,0,Accursed sceptre.,WiseOldMan EHB.
38,Killing scurrius,60,60,0,Rat bone weapon or Scythe,-
39,Fishing from the reward pool (tempoross),80,80,0,,-
40,Killing thermonuclear smoke devil (on task),125,100,0,Scythe+claws. ,WiseOldMan EHB.
41,Killing vardorvis,30,30,0,Soulreaper axe.,WiseOldMan EHB.
42,Killing spindel,55,55,0,Ursine chainmace.,WiseOldMan EHB.
43,Killing calvar'ion,55,55,0,Ursine chainmace + salve.,WiseOldMan EHB.
44,Killing vorkath,34,33,0,Ranged with DHCB or Melee with DHL.,WiseOldMan EHB.
45,Killing the whisperer,21,21,0,Shadow. ,WiseOldMan EHB.
46,Rolls from opening supply crates (wintertodt),42,42,0,Solo max reward crates.,-
47,Killing zalcano (1-down teams),40,40,0,Smallest team that can get 1 downs (7 or 8).,-
48,Killing zulrah,40,39,0,"Tbow/BP/Shadow, Max sweaty.",WiseOldMan EHB.
49,Ancient chest (chambers of xeric),3,2.9,0,"Not recommended, do CMs instead for capes.",WiseOldMan EHB.
50,Ancient chest (chambers of xeric challenge mode),2.4,2,0,,WiseOldMan EHB.
51,Theater of blood (4 person team),3,2.9,0,,WiseOldMan EHB.
52,Theater of blood hard mode (4 person team),3,2.4,0,,WiseOldMan EHB.
53,Tombs of amascut reward chests (150),3.5,2.5,0,,WiseOldMan EHB.
54,Tombs of amascut reward chests (300),3,2,0,,WiseOldMan EHB.
55,Tombs of amascut reward chests (450),1.5,1,0,,-
56,Completing tombs of amascut challenges,1,1,0,,-
57,Opening beginner caskets,50,20,0,,-
58,Opening easy caskets,45,20,0,,TheRealOne's EHC Hiscores.
59,Opening medium caskets,30,10,0,,TheRealOne's EHC Hiscores.
60,Opening hard caskets,20,5,0,,TheRealOne's EHC Hiscores.
61,Opening elite caskets,1.66,0.6,0,"Mains: Doing is 10/hr, obtaining is 2/hr.",TheRealOne's EHC Hiscores.
62,Opening master caskets,1.5,0.5,0,"Mains: Doing is 6/hr, obtaining is 2/hr.",TheRealOne's EHC Hiscores.
63,Barbarian assault high gambles (or 500 points),3.1,3.1,0,Assumes boosting.,-
64,Getting brimhaven vouchers,66,66,0,,-
65,Getting castle wars tickets,12.7,12.7,0,Uses 3 alts.,-
66,Completing rounds of fishing trawler,8,8,0,,-
67,Earning giants' foundry reputation,2000,2000,0,,-
68,Gnome restaurant deliveries (seed pods),20,20,0,,-
69,Gnome restaurant deliveries (scarfs and goggles),20,20,0,,-
70,Pulling from the reward guardian (guardians of the rift),30,30,0,,-
